,UUID,Substance
41,41087312-253e-4cfd-a54b-08cfa89d16fd,"(+/-)-[(R*,R*)and(R*,S*)]-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran"
42,d1d8e2e5-8b9d-4c08-9430-23b63430ed2f,"(+/-)-[(R*,R*)and(R*,S*)]-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran [T001446]"
43,2db20f99-02ea-4b21-b428-93db843f8b09,"(+/-)-2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol [M-ALCOHOL; M-ALCOOL]"
44,8c32e52e-731e-4924-832b-728e8fb12425,"(+/-)-2,3-dihydro-2-hydroxy-3,3-dimethylbenzofuran-5-ylethanesulfonate"
45,03ffe9ba-488a-4f99-aca7-515d42b1005f,(+/-)-4-[2-[[3-(4-hydroxyphenyl)-1-methylpropyl]amino]-1-hydroxyethyl]phenol hydrochloride [PAYLEAN; RACTOPAMINE HYDROCHLORIDE]
46,395b0e9c-9981-4241-b7fb-2ded76068735,(+/-)-cis-3-acetoxy-4-phenylazetidine-2-one [BMS 183040-01]
47,3109f200-1c1f-4e31-bc8a-88ad49d521f8,(+/-)-trans-4-(4-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine
48,42b565f1-0bce-4e3b-be43-36e3d87edcbb,(+/-)-trans-methyl[2-(methylamino)cyclohexyl]amine
49,8a51cfa7-5b9e-4915-9047-b0e02f1d4ff4,"(+/-)-α-[(2-acetyl-5-methylphenyl)-amino]-2,6-dichlorobenzene-aceto-nitrile [T001769]"
50,75741355-8b62-458a-81f3-e1fb1d76af50,"(±)-(1α,2β,5α)-2-(isopropyl)-5-methylcyclohexyl benzoate"
51,66ed0d19-2699-476e-8efe-89cc0aa14cae,(±)-1-(isopropylamino)-3-(naphthyloxy)propan-2-ol
52,63cc4565-4a55-4866-aa5a-95942a1204a2,"(±)-13-ethyl-3-methoxygona-1,3,5(10),8-tetraen-17-one"
53,b488c8bb-101f-4a4f-941a-d14ef630e072,"(±)-13-ethyl-3-methoxygona-2,5(10)-dien-17-one"
54,8cc82027-c1a4-4caf-9ff6-2b6c701f8c0f,"(±)-13-ethyl-3-methoxygona-2,5(10)-dien-17β-ol"
55,47e3275d-5b86-4552-8473-98219b151c5a,(±)-2-(6-methoxy-2-naphthyl)propionic acid
56,77d17c9b-baa6-4166-becb-c05d57941085,"(±)-2-[(p-anisyl)methyl]-1-benzyl-1,2,5,6-tetrahydro-3,4-dimethylpyridinium hydrogen oxalate"
57,a797e286-46ff-4711-aa78-6c55e9e5ab57,(±)-2-aminododecanoic acid
58,ef924a4c-e044-4eb4-b0f5-38a4060ede3b,(±)-4-(2-amino-1-hydroxyethyl)pyrocatechol
59,4f1dc268-0458-4ef4-92dc-93115a03ef73,"(±)-7-[(3-chloro-6,11-dihydro-6-methyldibenzo[c,f][1,2]thiazepin-11-yl)amino]heptanoic acid S,S-dioxide"
60,fa8ba5e4-0836-45bc-aaad-0f58066c13d8,"(±)-dihydro-3-hydroxy-4,4-dimethylfuran-2(3H)-one"
61,4f56905f-60aa-40cc-b304-0854bf57fdbe,(±)-menthone
62,3aa10162-9a94-4b74-9fcd-3018d8ab5d50,"(±)-N,α-dimethylphenethylamine"
63,a844226f-4e84-432f-8be8-04a61f19865f,(±)-neomenthol
64,78bb5bb4-67f5-447c-ac4e-16fc0c8eed8b,(±)-tartaric acid
